"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Pull Up (Weighted)",,"",0,"normal",30,8,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Pull Up (Weighted)",,"",1,"normal",30,7,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Pull Up (Weighted)",,"",2,"normal",20,8,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Iso-Lateral Row (Machine)",,"",0,"normal",130,9,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Iso-Lateral Row (Machine)",,"",1,"normal",130,7,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Iso-Lateral Row (Machine)",,"",2,"normal",120,12,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Shoulder Press (Machine Plates)",,"",0,"normal",80,9,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Shoulder Press (Machine Plates)",,"",1,"normal",80,7,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Shoulder Press (Machine Plates)",,"",2,"normal",70,9,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Preacher Curl (Machine)",,"",0,"normal",81,10,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Preacher Curl (Machine)",,"",1,"normal",74,8,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Preacher Curl (Machine)",,"",2,"normal",74,7,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Hammer Strength Pulldown (Plate Loaded)",,"",0,"normal",76,8,,,
"Pull","23 Jun 2026, 06:51","23 Jun 2026, 07:59","","Hammer Strength Pulldown (Plate Loaded)",,"",1,"normal",66,10,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,8,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,6,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Incline Bench Press (Dumbbell)",,"",2,"normal",56,8,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Shrug (Machine)",,"",0,"normal",140,12,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Shrug (Machine)",,"",1,"normal",140,12,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Shrug (Machine)",,"",2,"normal",140,9,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Flat iso-Lateral Press",,"",0,"normal",96,8,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Flat iso-Lateral Press",,"",1,"normal",96,7,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Flat iso-Lateral Press",,"",2,"normal",86,7,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Skullcrusher (Barbell)",,"",0,"normal",35,10,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Skullcrusher (Barbell)",,"",1,"normal",35,8,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Skullcrusher (Barbell)",,"",2,"normal",32.5,9,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",76,9,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",76,8,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Lateral Raise (Cable)",,"",0,"normal",7.5,12,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Lateral Raise (Cable)",,"",1,"normal",7.5,12,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Triceps Pushdown",,"",0,"normal",38.5,10,,,
"Push","22 Jun 2026, 06:44","22 Jun 2026, 08:02","","Triceps Pushdown",,"",1,"normal",35,10,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Squat (Barbell)",,"",0,"normal",80,8,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Squat (Barbell)",,"",1,"normal",80,7,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Squat (Barbell)",,"",2,"normal",75,8,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Plate Loaded Hip Thrust",,"",0,"normal",140,12,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Plate Loaded Hip Thrust",,"",1,"normal",140,12,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Leg Press (Machine)",,"",0,"normal",173,8,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Leg Press (Machine)",,"",1,"normal",153,8,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Iso Lateral Leg Curl",,"",0,"warmup",33,9,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Iso Lateral Leg Curl",,"",1,"normal",33,8,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Crunch (Machine)",,"",0,"normal",45,10,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Crunch (Machine)",,"",1,"normal",50,8,,,
"Lower","20 Jun 2026, 20:04","20 Jun 2026, 21:19","","Crunch (Machine)",,"",2,"normal",45,8,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Incline Bench Press (Smith Machine)",,"",0,"normal",70,9,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Incline Bench Press (Smith Machine)",,"",1,"normal",70,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Incline Bench Press (Smith Machine)",,"",2,"normal",70,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Seated Row (Machine)",,"",0,"normal",103,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Seated Row (Machine)",,"",1,"normal",103,9,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Seated Row (Machine)",,"",2,"normal",96,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Shoulder Press (Machine Plates)",,"",0,"normal",80,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Shoulder Press (Machine Plates)",,"",1,"normal",80,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Shoulder Press (Machine Plates)",,"",2,"normal",70,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lat Pulldown (Machine)",,"",0,"normal",117,10,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lat Pulldown (Machine)",,"",1,"normal",117,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Butterfly (Pec Deck)",,"",0,"normal",82,8,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Butterfly (Pec Deck)",,"",1,"normal",82,6,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Butterfly (Pec Deck)",,"",2,"normal",75,7,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lateral Raise (Machine)",,"",0,"normal",39,12,,,
"Upper","19 Jun 2026, 14:26","19 Jun 2026, 15:32","","Lateral Raise (Machine)",,"",1,"normal",39,10,,,
"Legs","17 Jun 2026, 15:54","17 Jun 2026, 16:59","","Squat (Barbell)",,"",0,"normal",75,8,,,
